key	value	source
loop_ver	7	lean_stage3/LOOP.md version line
eight	8	rung5.md section 8
seven	7	rung5.md section 7
design	rung5.md#8	the section under test
unit_opus	0340	the Opus probe
unit_fix	0342	the checker fix
prompt_lines_changed	2	diff of the two prompt.md files
opus_errors	5	units/0341-weil-powercompare-stage3/values.tsv errors_first
opus_minutes	14	units/0340-probe-loop-transfer/values.tsv minutes
opus_defects	7	units/0340-probe-loop-transfer/values.tsv defects
pred_commit	1	prediction, written before the spawn
pred_errors_lo	8	prediction, written before the spawn
pred_errors_hi	20	prediction, written before the spawn
pred_min_lo	20	prediction, written before the spawn
pred_min_hi	50	prediction, written before the spawn
pred_restarts	0	prediction, written before the spawn
pred_pins	1	prediction, written before the spawn
pred_worksheet	1	prediction, written before the spawn
pred_recurrence	0	prediction, written before the spawn
pred_new_defects	1	prediction, written before the spawn: at least one
commit	1	git log 0c97dec, 15:44
errors_first	3	units/0344-weil-powerselect-stage3/values.tsv
minutes	19	spawn 15:25 (this unit) to 0c97dec at 15:44, git log
restarts	0	no SendMessage to the agent
pins	1	PINS.md, the agent's section "rung 5 §8 in Lean"
worksheet	1	rung5.md section 8 heading PROVED (unit 0344), in commit 0c97dec
recurrence	0	run/report.md against units/0340-probe-loop-transfer/run/report.md items 1-7
new_defects	3	run/report.md, numbered list
lab_runs	3	run/report.md
checker_runs	2	run/report.md
refusals	0	run/report.md
files_touched	11	git show --stat 0c97dec
module_lines	190	wc -l lean_stage3/Stage3/WeilPowerSelect.lean
theorems_proved	7	grep -c ^theorem lean_stage3/Stage3/WeilPowerSelect.lean
defs	1	grep -c ^def lean_stage3/Stage3/WeilPowerSelect.lean
sorries	0	grep -c sorry lean_stage3/Stage3/WeilPowerSelect.lean
pins_module	4	grep -c guard_msgs lean_stage3/Stage3/WeilPowerSelect.lean
unit_agent	0344	the agent's unit
unit_prev_agent	0341	the Opus agent's unit, whose run.sh was copied
loop_ver_after	8	lean_stage3/LOOP.md version line after this commit
tokens	199021	run/report.md line 1, the harness usage line
tool_uses	86	run/report.md line 1
wall_ms	1137972	run/report.md line 1
