regime,A_count,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,delta_10,delta_11,delta_12,delta_13,delta_14,delta_15,delta_16,delta_17,delta_18,delta_19,delta_20,delta_21,delta_22,delta_23,delta_24,delta_25,delta_26,delta_27,delta_28,delta_29,delta_30,delta_31
1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,0,-2,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,3,3,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,2,-1,-4,-9,-18,,,,,,,,,,,,,,,,,,,,,,,,,,
7,13,6,4,5,9,18,36,,,,,,,,,,,,,,,,,,,,,,,,,
8,23,10,4,0,-5,-14,-32,-68,,,,,,,,,,,,,,,,,,,,,,,,
9,43,20,10,6,6,11,25,57,125,,,,,,,,,,,,,,,,,,,,,,,
10,75,32,12,2,-4,-10,-21,-46,-103,-228,,,,,,,,,,,,,,,,,,,,,,
11,137,62,30,18,16,20,30,51,97,200,428,,,,,,,,,,,,,,,,,,,,,
12,255,118,56,26,8,-8,-28,-58,-109,-206,-406,-834,,,,,,,,,,,,,,,,,,,,
13,464,209,91,35,9,1,9,37,95,204,410,816,1650,,,,,,,,,,,,,,,,,,,
14,872,408,199,108,73,64,63,54,17,-78,-282,-692,-1508,-3158,,,,,,,,,,,,,,,,,,
15,1612,740,332,133,25,-48,-112,-175,-229,-246,-168,114,806,2314,5472,,,,,,,,,,,,,,,,,
16,3030,1418,678,346,213,188,236,348,523,752,998,1166,1052,246,-2068,-7540,,,,,,,,,,,,,,,,
17,5709,2679,1261,583,237,24,-164,-400,-748,-1271,-2023,-3021,-4187,-5239,-5485,-3417,4123,,,,,,,,,,,,,,,
18,10749,5040,2361,1100,517,280,256,420,820,1568,2839,4862,7883,12070,17309,22794,26211,22088,,,,,,,,,,,,,,
19,20390,9641,4601,2240,1140,623,343,87,-333,-1153,-2721,-5560,-10422,-18305,-30375,-47684,-70478,-96689,-118777,,,,,,,,,,,,,
20,38635,18245,8604,4003,1763,623,0,-343,-430,-97,1056,3777,9337,19759,38064,68439,116123,186601,283290,402067,,,,,,,,,,,,
21,73586,34951,16706,8102,4099,2336,1713,1713,2056,2486,2583,1527,-2250,-11587,-31346,-69410,-137849,-253972,-440573,-723863,-1125930,,,,,,,,,,,
22,140336,66750,31799,15093,6991,2892,556,-1157,-2870,-4926,-7412,-9995,-11522,-9272,2315,33661,103071,240920,494892,935465,1659328,2785258,,,,,,,,,,
23,268216,127880,61130,29331,14238,7247,4355,3799,4956,7826,12752,20164,30159,41681,50953,48638,14977,-88094,-329014,-823906,-1759371,-3418699,-6203957,,,,,,,,,
24,513708,245492,117612,56482,27151,12913,5666,1311,-2488,-7444,-15270,-28022,-48186,-78345,-120026,-170979,-219617,-234594,-146500,182514,1006420,2765791,6184490,12388447,,,,,,,,
25,985818,472110,226618,109006,52524,25373,12460,6794,5483,7971,15415,30685,58707,106893,185238,305264,476243,695860,930454,1076954,894440,-111980,-2877771,-9062261,-21450708,,,,,,,
26,1894120,908302,436192,209574,100568,48044,22671,10211,3417,-2066,-10037,-25452,-56137,-114844,-221737,-406975,-712239,-1188482,-1884342,-2814796,-3891750,-4786190,-4674210,-1796439,7265822,28716530,,,,,,
27,3645744,1751624,843322,407130,197556,96988,48944,26273,16062,12645,14711,24748,50200,106337,221181,442918,849893,1562132,2750614,4634956,7449752,11341502,16127692,20801902,22598341,15332519,-13384011,,,,,
28,7027290,3381546,1629922,786600,379470,181914,84926,35982,9709,-6353,-18998,-33709,-58457,-108657,-214994,-436175,-879093,-1728986,-3291118,-6041732,-10676688,-18126440,-29467942,-45595634,-66397536,-88995877,-104328396,-90944385,,,,
29,13561907,6534617,3153071,1523149,736549,357079,175165,90239,54257,44548,50901,69899,103608,162065,270722,485716,921891,1800984,3529970,6821088,12862820,23539508,41665948,71133890,116729524,183127060,272122937,376451333,467395718,,,
30,26207278,12645371,6110754,2957683,1434534,697985,340906,165741,75502,21245,-23303,-74204,-144103,-247711,-409776,-680498,-1166214,-2088105,-3889089,-7419059,-14240147,-27102967,-50642475,-92308423,-163442313,-280171837,-463298897,-735421834,-1111873167,-1579268885,,
31,50697537,24490259,11844888,5734134,2776451,1341917,643932,303026,137285,61783,40538,63841,138045,282148,529859,939635,1620133,2786347,4874452,8763541,16182600,30422747,57525714,108168189,200476612,363918925,644090762,1107389659,1842811493,2954684660,4533953545,
32,98182656,47485119,22994860,11149972,5415838,2639387,1297470,653538,350512,213227,151444,110906,47065,-90980,-373128,-902987,-1842622,-3462755,-6249102,-11123554,-19887095,-36069695,-66492442,-124018156,-232186345,-432662957,-796581882,-1440672644,-2548062303,-4390873796,-7345558456,-11879512001
