key	value	source
module_lines	430	wc -l lean_stage3/Stage3/WeilPowerGeomGen.lean
theorems_proved	9	grep -c ^theorem lean_stage3/Stage3/WeilPowerGeomGen.lean
defs	3	grep -c ^def lean_stage3/Stage3/WeilPowerGeomGen.lean
pins_module	4	grep -c guard_msgs lean_stage3/Stage3/WeilPowerGeomGen.lean
axioms	3	#print axioms: propext, Classical.choice, Quot.sound
sorries	0	grep -c sorry lean_stage3/Stage3/WeilPowerGeomGen.lean
errors_first	1	first lake build: error: Stage3/WeilPowerGeomGen.lean:344:2
roots	1	the single root cause of the first build
row_ring	1	lean_stage3/TRAPS.md row 1
jobs_module	8667	lake build Stage3.WeilPowerGeomGen
jobs_package	8760	lake build (full Stage3)
loop_version	12	lean_stage3/LOOP.md version line at the build
loop_next	13	lean_stage3/LOOP.md version after this run's retrospective
four	4	lean_stage3/LOOP.md section 4, where the retrospective's grep landed
design	rung5.md#13e	the geometric bound with a free slope, block 13e
rung	5	detection ladder rung
slice	15	fifteenth module of the switched-window ladder
thirteen	13	worksheet section 13
unit_geom	0349	WeilPowerGeom
unit_sigma	0348	WeilPowerSigma
unit_phase	0347	WeilPowerPhase
