key	value	source
module_lines	564	wc -l lean_stage3/Stage3/WeilPowerGauss.lean
defs	4	g D T Tr
theorems_proved	25	grep -c ^theorem lean_stage3/Stage3/WeilPowerGauss.lean
axioms	3	#print axioms: propext, Classical.choice, Quot.sound
sorries	0	grep sorry Stage3/WeilPowerGauss.lean
errors_first	8	first lake build
errors_second	1	second lake build
jobs_package	8751	lake build (full Stage3)
rung	5	detection ladder rung, sixth slice
half	1/2	norm_one_add_le, exp_le_one_add: the tail factors within 1/2 of 1
one	1	m+1; 4/(pi (m+1)); 1/(m+1)
two	2	2m; 2m+3; (m+2); w^2; pi^2
four	4	4/(pi (m+1)); 4^m; fourth powers
three	3	2m+3; (m+1)^3
zero	0	Re(w^2) at least or at most zero; s above zero
