key	value	source
module_lines	488	wc -l lean_stage3/Stage3/WeilPowerBands.lean
defs	6	termW weightedTermW r cFarM M A
theorems_proved	21	grep -c ^theorem lean_stage3/Stage3/WeilPowerBands.lean
axioms	3	#print axioms: propext, Classical.choice, Quot.sound
sorries	0	grep sorry Stage3/WeilPowerBands.lean
errors_first	3	first lake build
errors_second	1	second lake build
jobs_package	8752	lake build (full Stage3)
rung	5	detection ladder rung, seventh slice
height_min	11/10	Upper: heights at least 11/10
near_mult	5	r h m = max 1 (5 (m+1) / h)
near_coeff	4	M near: 4 h^2
cfar_bound	1000	cFarM_le
pi4_bound	100	pi^4 < 100 in cFarM_le
weight_slope	88	A
one	1	max 1 ...
two	2	2m+2; (m+1)^2; idx + r + 2; 200/81 squared
nine_tenths	9/10	gap at least 9/10 of the band gap times h
two_hundred	200	200/81
eighty_one	81	200/81
ten	10	(10 (m+1)^2)^(-2m)
three	3	A/(k+1)^3; K + 3
six	6	pi^2/6
unit_bands	0321	band_sum_le
unit_tiles	0322	sum_by_bands, tsum_upper_le
unit_series	0323	bandTerm_le_A, the series
unit_low	0324	the low band, next slice
